t_s,tag,flight_mode,in_air,armed,battery_pct,voltage_v,lat,lon,abs_alt_m,health_gyro_cal,health_accel_cal,health_mag_cal,health_global_pos,health_local_pos,health_home_pos
0.00,wide_waypoints_with_failures,HOLD,True,True,93.000,16.050,37.4121735,-121.9988691,38.336,True,True,True,True,True,True
6.26,wide_waypoints_with_failures,TAKEOFF,True,True,83.000,15.871,37.4121995,-121.9988739,45.719,True,True,True,True,True,True
12.36,wide_waypoints_with_failures,HOLD,True,True,73.000,15.690,37.4127291,-121.9988644,53.032,True,True,True,True,True,True
18.42,wide_waypoints_with_failures,HOLD,True,True,63.000,15.510,37.4133757,-121.9988659,60.497,True,True,True,True,True,True
24.49,wide_waypoints_with_failures,HOLD,True,True,53.000,15.330,37.4140209,-121.9988664,67.970,True,True,True,True,True,True
30.56,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4146691,-121.9988668,75.450,True,True,True,True,True,True
36.63,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4153164,-121.9988670,82.959,True,True,True,True,True,True
42.70,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4157333,-121.9988661,87.754,True,True,True,True,True,True
48.76,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4157607,-121.9988396,88.117,True,True,True,True,True,True
52.80,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4157585,-121.9981999,88.050,True,True,True,True,True,True
58.85,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4157609,-121.9973879,88.080,True,True,True,True,True,True
64.91,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4157620,-121.9965739,88.089,True,True,True,True,True,True
70.99,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4157636,-121.9957600,88.115,True,True,True,True,True,True
77.05,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4157654,-121.9949428,88.129,True,True,True,True,True,True
83.14,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4157655,-121.9943916,88.161,True,True,True,True,True,True
89.20,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4156293,-121.9941924,88.233,True,True,True,True,True,True
95.28,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4151832,-121.9936297,88.163,True,True,True,True,True,True
101.33,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4147269,-121.9930523,88.170,True,True,True,True,True,True
107.39,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4142723,-121.9924772,88.155,True,True,True,True,True,True
113.45,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4138158,-121.9918991,88.164,True,True,True,True,True,True
119.51,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4133586,-121.9913198,88.130,True,True,True,True,True,True
125.58,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4129029,-121.9907431,88.163,True,True,True,True,True,True
131.64,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4124454,-121.9901644,88.121,True,True,True,True,True,True
137.69,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4121603,-121.9898656,88.121,True,True,True,True,True,True
143.74,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4115715,-121.9898560,87.034,True,True,True,True,True,True
149.80,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4109245,-121.9898455,85.842,True,True,True,True,True,True
155.85,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4102771,-121.9898337,84.640,True,True,True,True,True,True
161.90,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4096597,-121.9898235,83.477,True,True,True,True,True,True
167.98,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4094810,-121.9898183,83.187,True,True,True,True,True,True
174.05,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4094779,-121.9898195,83.156,True,True,True,True,True,True
180.09,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4094780,-121.9898190,83.152,True,True,True,True,True,True
186.14,wide_waypoints_with_failures,HOLD,True,True,50.000,15.300,37.4094779,-121.9898193,82.556,True,True,True,True,True,True
